"TOA5","Cattle_Experiment_Eagle_TGA310","GRANITE9","1218","GRANITE9.4.0.0","CPU:TraceFlux_GR_OPEC_Eagle_0917_2026.CRB","11671","CSFlux"
"TIMESTAMP","RECORD","FCH4_mass","FCH4_QC","nmbr_smp_FCH4","FC_mass","FC_QC","nmbr_smp_FC","LE","LE_QC","nmbr_smp_LE","ET","ET_QC","nmbr_smp_ET","H","H_QC","nmbr_smp_H","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","e_amb","e_sat_amb","TA_1_1_2","RH_1_1_2","RH_SIGMA_1_1_2","e_fast","e_sat_fast","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","e_probe","e_sat_probe","H2O_density_probe","PA","VPD","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WS_MAX","WD_SONIC","WD_SIGMA","WD","CH4_density","CH4_density_SIGMA","CH4_mixratio","CH4_mixratio_SIGMA","CO2_density","CO2_density_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","TS_1_1_1","SWC_1_1_1","cs65x_ec_1_1_1","FETCH_MAX","FETCH_90","FETCH_80","FETCH_70","FETCH_FILTER","FETCH_INTRST","FP_FETCH_INTRST","FP_EQUATION"
"TS","RN","ugCH4 m-2 s-1","grade","count","mgCO2 m-2 s-1","grade","count","W m-2","grade","count","mm hour-1","grade","count","W m-2","grade","count","fraction","kg m-1 s-2","grade","m s-1","deg C","m2 s-2","deg C","%","deg C","kPa","kPa","deg C","%","%","kPa","kPa","deg C","%","deg C","kPa","kPa","gH2O m-3","kPa","hPa","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","deg C","deg C","decimal degrees","m s-1","m s-1","m s-1","decimal degrees","decimal degrees","decimal degrees","ugCH4 m-3","ugCH4 m-3","nmolCH4 mol-1","nmolCH4 mol-1","mgCO2 m-3","mgCO2 m-3","gH2O m-3","gH2O m-3","fraction","fraction","decimal degrees","decimal degrees","decimal degrees","decimal degrees","adimensional","fraction","deg C","%","dS m-1","m","m","m","m","adimensional","m","%","authors"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Min","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-09-25 15:00:00",154,3.76346,7,36000,0.1549778,7,36000,52.01435,7,36000,0.07666034,7,36000,-9.33618,7,36000,-0.1794924,-0.007616948,4,0.08688434,0.105406,0.6133505,25.06019,26.81969,4.516043,0.8540717,3.192118,24.68732,27.45293,4.706029,0.8528997,3.122629,25.00299,48.23716,13.29998,1.533661,3.180985,11.14556,86.58873,2.26973,0.7878622,0.4747849,0,0.994128,-3.72529E-09,0.1139722,25.61559,0.4357746,0,1.24227,0.7874244,3.967501,335.5822,49.01274,24.41776,1781.317,507.3737,2474.681,627.7556,641.0506,11.00256,6.206189,0.888284,0.9871539,0.9895259,227.1906,35.90379,36.48819,-1.126914,1.455957,1,26.16398,7.99656,0.03307333,7.392788,118.6443,56.14078,35.48516,1,214.413,94.26651,"Kljun_et_al"
"2026-09-25 15:00:00",154,3.76346,7,36000,0.1549778,7,36000,52.01435,7,36000,0.07666034,7,36000,-9.33618,7,36000,-0.1794924,-0.007616948,4,0.08688434,0.105406,0.6133505,25.06019,26.81969,4.516043,0.8540717,3.192118,24.68732,27.45293,4.706029,0.8528997,3.122629,25.00299,48.23716,13.29998,1.533661,3.180985,11.14556,86.58873,2.26973,0.7878622,0.4747849,0,0.994128,-3.72529E-09,0.1139722,25.61559,0.4357746,0,1.24227,0.7874244,3.967501,335.5822,49.01274,24.41776,1781.317,507.3737,2474.681,627.7556,641.0506,11.00256,6.206189,0.888284,0.9871539,0.9895259,227.1906,35.90379,36.48819,-1.126914,1.455957,1,26.16398,7.99656,0.03307333,7.392788,118.6443,56.14078,35.48516,1,214.413,94.26651,"Kljun_et_al"
"2026-09-25 15:30:00",155,9.606565,8,36000,0.2965559,8,36000,88.26995,8,36000,0.130083,8,36000,-6.573135,8,36000,-0.07446628,-0.01722049,7,0.1306607,0.04933885,0.7136571,24.7777,29.8547,5.839894,0.9343485,3.140675,24.59249,30.25053,4.694759,0.9336407,3.107249,24.53968,50.11589,13.46471,1.550241,3.0945,11.28337,86.56303,2.173609,1.439613,0.9223347,0,0.7344608,-1.862645E-09,0.1928213,25.60896,0.7975774,0,1.669051,1.43942,5.27195,28.79513,30.04453,331.2049,1862.056,380.4555,2538.964,476.0636,639.517,9.219735,6.795929,0.8147709,0.9860972,0.9889024,234.5487,31.56204,43.99044,-1.134838,1.630689,1,25.56213,7.977362,0.033057,8.889855,142.6702,67.5095,42.67104,1,214.413,93.17315,"Kljun_et_al"
"2026-09-25 16:00:00",156,7.03763,3,36000,0.1883257,7,36000,182.9911,3,36000,0.2701689,3,36000,46.98849,3,36000,0.2567802,-0.1130806,3,0.3358195,-0.1381123,2.287785,27.06143,23.91039,4.660258,0.8591395,3.593318,26.488,24.67433,2.385217,0.8575252,3.474545,26.56405,47.30712,14.4339,1.650693,3.489278,11.93325,86.56982,2.617019,2.871171,1.370802,0,1.603839,-7.450581E-09,0.3523798,27.42738,0.5460874,0,3.337278,2.870335,7.151167,316.6557,30.29848,43.3443,1526.566,152.9312,2143.41,191.867,630.6968,3.818585,6.200549,0.6362619,0.9882479,0.9906372,241.2102,26.8243,51.49207,-1.142972,1.891374,1,24.77787,7.942625,0.032811,6.20102,78.06158,41.95039,28.15044,1,214.413,97.00041,"Kljun_et_al"
"2026-09-25 16:30:00",157,2.805882,5,36000,0.09936523,5,36000,216.169,5,36000,0.3190666,5,36000,15.40815,5,36000,0.07127828,-0.1514731,1,0.3884654,-0.03912,1.469838,26.65266,23.34387,3.967034,0.8185095,3.507313,26.20921,23.92812,2.545744,0.8173004,3.416996,26.46821,46.69849,14.14575,1.620044,3.469318,11.71559,86.56474,2.599695,4.293107,1.170121,0,1.185318,-7.450581E-09,0.4068347,27.1035,0.304755,0,4.451293,4.291569,9.802938,319.7306,15.34359,40.26938,1445.889,66.85609,2051.63,77.34701,631.6863,1.758132,5.915594,0.6176507,0.9880615,0.9908236,247.3062,21.78841,58.99357,-1.151219,2.298374,1,24.31052,7.891321,0.03259867,8.015878,100.9079,54.22805,36.38926,1,214.413,95.90083,"Kljun_et_al"
"2026-09-25 17:00:00",158,12.26358,1,36000,0.4751246,1,36000,131.2739,1,36000,0.1935197,1,36000,-15.74288,1,36000,-0.1199239,-0.05809756,3,0.2401476,0.06437954,0.7430761,25.91365,27.6215,5.730264,0.9269456,3.357457,24.923,29.27125,4.062312,0.9237556,3.166331,25.46461,49.18379,14.02318,1.607258,3.269567,11.66237,86.54549,2.242575,2.434107,1.049841,0,0.5603203,-7.450581E-09,0.2646286,25.93007,0.3325367,0,2.491565,2.43254,5.901057,347.9029,12.46706,12.09708,1685.229,331.565,2309.98,414.7355,634.7874,6.665115,6.715947,0.7878696,0.9904611,0.9926972,252.9654,16.53503,66.49564,-1.159287,2.993407,1,24.01212,7.890529,0.032448,8.181387,131.3002,62.12939,39.27041,1,214.413,93.68922,"Kljun_et_al"
"2026-09-25 17:30:00",159,7.784775,1,36000,0.357894,1,36000,79.04345,1,36000,0.1164782,1,36000,-24.1246,1,36000,-0.3052068,-0.02364001,6,0.1531067,0.1545922,0.260321,25.40433,28.00734,5.542595,0.9124399,3.258004,24.52337,29.49257,3.122212,0.9096404,3.091658,24.91748,49.38132,13.59164,1.562774,3.164669,11.36013,86.5153,2.182018,1.871181,0.4406288,0,0.538028,-3.72529E-09,0.1923905,25.51402,0.3739378,0,1.942962,1.870543,3.985743,8.428307,15.63793,351.5717,1687.113,269.9393,2322.098,351.2644,637.9478,6.103018,6.621854,0.5758853,0.9877968,0.9909018,258.3053,11.13546,73.9976,-1.167275,4.391483,1,23.49447,7.813535,0.03219367,9.953999,159.7483,75.59059,47.7789,1,214.413,92.40238,"Kljun_et_al"
"2026-09-25 18:00:00",160,3.911289,9,36000,0.2081552,9,36000,27.38318,9,36000,0.04031093,9,36000,-26.5498,9,36000,-0.9695659,-0.0120054,9,0.1089216,0.238409,0.1895872,23.93399,28.74412,4.687732,0.8577725,2.984336,23.47704,29.54898,2.1582,0.856381,2.903952,23.82592,49.21417,12.54196,1.459108,2.964604,10.64541,86.48714,2.047571,2.104551,0.4003652,0,0.4462508,-7.450581E-09,0.1405072,24.40651,0.5471548,0,2.150704,2.103923,3.896192,24.40742,11.9462,335.5926,1635.782,177.4143,2275.984,232.8197,643.7396,5.731061,6.255829,0.32442,0.9838244,0.9852403,263.4334,5.672294,81.49912,-1.175523,8.366971,1,22.86245,7.78625,0.031796,15.76427,252.9953,119.7138,75.66803,1,214.413,88.286,"Kljun_et_al"
